SG_PARTIDO,SG_PARTIDO_INFO,MEDIA_IDEOL,NOME,NR_PARTIDO,POSIC_IDEOLOGICO,SG_POSIC_IDEOLOGICO,Observação,Fonte espectro
PODE,PODE(+PHS+PSC),"7,24",PODEMOS,20,DIREITA,D,PHS foi incorporado ao PODE,"BOLOGNESI, Bruno; RIBEIRO, Ednaldo; CODATO, Adrian.Uma Nova Classificação Ideológica dos Partidos Políticos Brasileiros. DADOS, Rio de Janeiro, vol.67 (2), p. 14, 2023."
PPL,PPL,"7,27",PARTIDO PÁTRIA LIVE,54,DIREITA,D,Extinto em 2019,
PRD,PRD(+PTB+PATRI+PRP),"7,33",PARTIDO RENOVAÇÃO DEMOCRÁTICA,25,DIREITA,D,Fusão entre o PTB + Patriota,"BOLOGNESI, Bruno; RIBEIRO, Ednaldo; CODATO, Adrian.Uma Nova Classificação Ideológica dos Partidos Políticos Brasileiros. DADOS, Rio de Janeiro, vol.67 (2), p. 14, 2023."
PRTB,PRTB,"7,45",PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,28,DIREITA,D,,"BOLOGNESI, Bruno; RIBEIRO, Ednaldo; CODATO, Adrian.Uma Nova Classificação Ideológica dos Partidos Políticos Brasileiros. DADOS, Rio de Janeiro, vol.67 (2), p. 14, 2023."
REPUBLICANOS,REPUBLICANOS(PRTB),"7,78",REPUBLICANOS,10,DIREITA,D,Antigo PRB,"BOLOGNESI, Bruno; RIBEIRO, Ednaldo; CODATO, Adrian.Uma Nova Classificação Ideológica dos Partidos Políticos Brasileiros. DADOS, Rio de Janeiro, vol.67 (2), p. 14, 2023."
PL,PL,"7,78",PARTIDO LIBERAL,22,DIREITA,D,Antigo PR,"BOLOGNESI, Bruno; RIBEIRO, Ednaldo; CODATO, Adrian.Uma Nova Classificação Ideológica dos Partidos Políticos Brasileiros. DADOS, Rio de Janeiro, vol.67 (2), p. 14, 2023."
AGIR,AGIR,"7,86",AGIR,36,DIREITA,D,,"BOLOGNESI, Bruno; RIBEIRO, Ednaldo; CODATO, Adrian.Uma Nova Classificação Ideológica dos Partidos Políticos Brasileiros. DADOS, Rio de Janeiro, vol.67 (2), p. 14, 2023."
DC,DC,"8,11",DEMOCRACIA CRISTÃ,27,DIREITA,D,,"BOLOGNESI, Bruno; RIBEIRO, Ednaldo; CODATO, Adrian.Uma Nova Classificação Ideológica dos Partidos Políticos Brasileiros. DADOS, Rio de Janeiro, vol.67 (2), p. 14, 2023."
NOVO,NOVO,"8,13",PARTIDO NOVO,30,DIREITA,D,,"BOLOGNESI, Bruno; RIBEIRO, Ednaldo; CODATO, Adrian.Uma Nova Classificação Ideológica dos Partidos Políticos Brasileiros. DADOS, Rio de Janeiro, vol.67 (2), p. 14, 2023."
PP,PP,"8,20",PROGRESSISTAS,11,DIREITA,D,,"BOLOGNESI, Bruno; RIBEIRO, Ednaldo; CODATO, Adrian.Uma Nova Classificação Ideológica dos Partidos Políticos Brasileiros. DADOS, Rio de Janeiro, vol.67 (2), p. 14, 2023."
UNIÃO,UNIÃO(PSL+DEM),"8,57",UNIÃO BRASIL,44,EXTREMA_DIREITA,EE,Fusão PSL + Democratas,"BOLOGNESI, Bruno; RIBEIRO, Ednaldo; CODATO, Adrian.Uma Nova Classificação Ideológica dos Partidos Políticos Brasileiros. DADOS, Rio de Janeiro, vol.67 (2), p. 14, 2023."
